code	source	date	artn	ctxt
@heilzaam_werking_1	Volkskrant	2003-11-08	14	Het lypoceen , een *bestanddeel* dat bijdraagt aan *de* rode *kleur* , *zou* *een* **heilzame** *werking* *hebben* *op* *de* prostaat . <br> De stof is opgenomen in voedingssupplementen .
@heilzaam_effect_1	NRC Handelsblad	1999-11-27	148	vastgesteld dat alcoholconsumptie tot een vermindering van atherosclerose leidt . <br> Pierik *beschrijft* *de* **heilzame** *effecten* *van* *alcoholgebruik* *op* *de* bloedvaten en *de* bloeddruk , op mogelijke beroerten , galstenen , lichaamsgewicht , vruchtbaarheid , zwangerschap , botontkalking , kanker , verkoudheid , suikerziekte en seniele dementie .
@heilzaam_werking_2	Volkskrant	2002-03-29	79	Voor politici met dadendrang een gruwel , maar als men de casus van de Betuwelijn nog *voor* *de* *geest* haalt dan *zou* *het* advocatensysteem zijn **heilzame** *werking* *hebben* *kunnen* *bewijzen* . <br> Voorts verhoogt het advocatensysteem de integriteit van het
@heilzaam_effect_2	De Standaard	1999-03-27	133	de fictie-categorie alleen een feestelijke verliezer krijgen . <br> *De* *kwestie* *heeft* *alvast* één **heilzaam** *effect* : *het* *profiel* *van* commerciële boekenprijzen staat opnieuw ter discussie . <br> Tom
@heilzaam_ben_2	De Morgen	1999-03-18	45	ten goede komen . <br> Versterking *van* *de* politieke controle *op* *de* *Commissie* *kan* **heilzaam** *zijn* *maar* *de* *huidige* ongenuanceerde *discussie* *is* *gevaarlijk* *voor* Europees beleid en besluitvorming . <br>
@heilzaam_werk_2	Het Parool	1999-03-23	79	In een vervolg op een project met Ensemble Loos onderzoekt het gezelschap in Blood on the floor wederom of de samenwerking tussen frank en vrij improviserende jazzmuzikanten enerzijds en dapper maten tellende en genoteerde *noten* *spelende* *musici* *anderzijds* **heilzaam** *kan* *werken* . <br> Turnage heeft de zaak naar eigen zeggen niet op de
@schaal_richter	Het Nieuwsblad	2000-07-12	4	Wenen , Beneden-Oostenrijk en Burgenland zijn dinsdagochtend opgeschrikt door een *aardschok* *van* *4,8* *op* *de* **schaal** *van* *Richter* . <br> *De* *bevolking* van de hoofdstad werd daardoor bij het krieken
@schaal_gewicht	NRC Handelsblad	2002-09-07	160	Daarom is het van belang dat Nederland zich deze week achter de VS heeft geschaard , ook al legt ons land natuurlijk minder *gewicht* *in* *de* **schaal** dan *Duitsland* *in* het *Europese* debat over de al dan niet noodzakelijke toestemming van de Veiligheidsraad voor militaire actie tegen Irak .
@schaal_nonrichter	NRC Handelsblad	1999-01-09	10	"<br> "" Misschien deelt de computer mij op grond *van* *statistische* analyses *op* *een* **schaal** *van* *1* *tot* *12* *in* categorie 3 ' , zegt woordvoerder B. Crouwers van de registratiekamer ."
@schaal_nationaal	Volkskrant	2003-05-03	253	. <br> Die stad vormde de opmaat tot de latere *collectieve* *regelingen* *op* *nationale* **schaal** , stellen *de* auteurs , in navolging van socioloog prof. dr. Abram de Swaan .
@heffen_belasting	Het Parool	2001-05-02	99	Op het inkomen boven *die* drie miljoen *gulden* *wil* De *Waal* *honderd* *procent* *belasting* **heffen** . <br> De opbrengst gaat naar de allerarmsten . <br> Ah , een
@heffen_tol	NRC Handelsblad	1999-10-02	31	Mobiliteitsproblemen , rekeningrijden , op een andere manier het *gebruik* van de *weg* *belasten* , kilometers *tellen* , *tol* **heffen** - de *mogelijkheden* *om* de ingebouwde chip *te* benutten zijn vrijwel onbeperkt . <br>
@heffen_accijns	De Morgen	2002-07-25	104	De accijnsheffingen tussen de verschillende landen variëren zeer sterk ten opzichte van elkaar , waardoor er aan weerszijden van het door Bolkestein voorgestelde minimum een discrepantie komt : in landen als Groot-Brittannië ( waar de accijnzen op 742 euro per 1.000 liter liggen ) , Italië *en* *Duitsland* ( *die* *beide* *accijnzen* *boven* de *400* *euro* **heffen** ) komt de *harmonisering* ten goede van de transportsector , terwijl in andere landen ( zoals Spanje , Ierland , Oostenrijk , Finland en België , waar de accijnzen rond de 300 euro schommelen ) de overheid een voordeel heeft .
@heffen_glas	De Standaard	2004-10-20	150	met het vertrouwde pintje . <br> Nog *twaalf* andere deelnemers *konden* *maandagavond* *het* *glas* **heffen** *op* de *hoogste* *winst* . <br> De dertien deelnemers die 5-9-15-23-29-32 hadden aangekruist ,
@hachelijk_onderneming	Volkskrant	2002-08-05	46	Het is geen gewaagde stelling dat de deelname van de LPF aan de *regering* *een* **hachelijke** *onderneming* *blijft* . <br> De situatie waarin de LPF is terechtgekomen , is het
@hachelijk_zaak	Volkskrant	2004-05-05	42	Daar baseerden de media zich op slechts één bron , en elke journalist weet dat *dat* *een* **hachelijke** *zaak* *is* . ' <br> Jacques Wallage , burgemeester van Groningen : ' Vroeger
@hachelijk_avontuur	Het Parool	2000-03-17	34	Het stadsautootje voelt zich beter thuis op het gladde asfaltlint van de snelweg en zolang er geen fikse zijwind staat - want hij is daar door z'n relatief hoge bouw én achterwielaandrijving erg gevoelig voor , met storm opzij is het *inhalen* van *een* *vrachtwagen* *een* **hachelijk** *avontuur* - *kan* je daar heel relaxed grote afstanden mee afleggen . <br> Je
