cw_index	dep	distance	head	cw_type	path	position	same_sent	sent_index	side	steps	text_index	wordform	token_id	type	conc_distance	conc_id	ann_3	ann_1	ann_2	ann_4	votes	rgx_lemma	right_1	right_2	right_3	right_4	count_cue	sense_1	sense_2	sense_3	sense_4	majority_sense	final_sense	collapsed_sense
heilzaam/adj/nrc_handelsblad_19990408_166/78/R3	obj1	3	18	museum_bezoek/noun	effect->mod:en->[cnj:#T,mod:van->obj1:CW]	R3	TRUE	19	R	4	81	museumbezoek	heilzaam/adj/nrc_handelsblad_19990408_166/78	heilzaam	3	heilzaam/adj/nrc_handelsblad_19990408_166/78/R2	TRUE	TRUE	TRUE	FALSE	3	museum_bezoek	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19990703_152/92/L7	mod	7	15	celibataire/adj	werk->[mod:#T,su:periode->mod:CW]	L7	TRUE	14	L	3	85	celibataire	heilzaam/adj/nrc_handelsblad_19990703_152/92	heilzaam	7	heilzaam/adj/nrc_handelsblad_19990703_152/92/L6	TRUE	TRUE	TRUE	FALSE	3	celibataire	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991002_81/1530/R4	obj1	4	23	kosmopolitisme/noun	werking->[mod:#T,mod:van->obj1:CW]	R4	TRUE	25	R	3	1534	kosmopolitisme	heilzaam/adj/nrc_handelsblad_19991002_81/1530	heilzaam	4	heilzaam/adj/nrc_handelsblad_19991002_81/1530/R3	TRUE	TRUE	TRUE	FALSE	3	kosmopolitisme	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991006_128/792/L2	cnj	2	8	coffeeshop/noun	CW->mod:of->cnj:#T	L2	TRUE	10	L	2	790	coffeeshops	heilzaam/adj/nrc_handelsblad_19991006_128/792	heilzaam	2	heilzaam/adj/nrc_handelsblad_19991006_128/792/L1	TRUE	TRUE	TRUE	FALSE	3	coffeeshop	TRUE	FALSE	TRUE	FALSE	2	heilzaam_1	heilzaam_2	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_19991019_108/6/R5	obj1	5	7	opvoeding/noun	verricht->obj1:werk->[mod:#T,mod:in->obj1:CW]	R5	TRUE	9	R	4	11	opvoeding	heilzaam/adj/nrc_handelsblad_19991019_108/6	heilzaam	5	heilzaam/adj/nrc_handelsblad_19991019_108/6/R4	TRUE	TRUE	TRUE	FALSE	3	opvoeding	TRUE	TRUE	TRUE	FALSE	3	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991030_63/155/L11	su	11	3	bank_president/noun	stel->vc:dat->body:heb->vc:leid->ld:tot->obj1:cyclus->[mod:#T,su:CW]	L11	TRUE	2	L	7	144	bankpresident	heilzaam/adj/nrc_handelsblad_19991030_63/155	heilzaam	11	heilzaam/adj/nrc_handelsblad_19991030_63/155/L10	TRUE	TRUE	FALSE	FALSE	2	bank_president	TRUE	FALSE	TRUE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991030_63/155/L6	su	6	8	vernieuwing/noun	heb->vc:leid->ld:tot->obj1:cyclus->[mod:#T,su:CW]	L6	TRUE	7	L	5	149	vernieuwingen	heilzaam/adj/nrc_handelsblad_19991030_63/155	heilzaam	6	heilzaam/adj/nrc_handelsblad_19991030_63/155/L5	TRUE	FALSE	TRUE	FALSE	2	vernieuwing	FALSE	TRUE	TRUE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991030_63/155/R1	obj1	1	10	cyclus/noun	CW->mod:#T	R1	TRUE	14	R	1	156	cyclus	heilzaam/adj/nrc_handelsblad_19991030_63/155	heilzaam	1	heilzaam/adj/nrc_handelsblad_19991030_63/155/R0	FALSE	TRUE	TRUE	FALSE	2	cyclus	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991030_63/155/R9	obj1	9	20	productiviteit/noun	cyclus->[mod:#T,mod:waarin->body:ga_samen->su:groei->mod:van->obj1:CW]	R9	TRUE	22	R	6	164	productiviteit	heilzaam/adj/nrc_handelsblad_19991030_63/155	heilzaam	9	heilzaam/adj/nrc_handelsblad_19991030_63/155/R8	TRUE	TRUE	TRUE	FALSE	3	productiviteit	TRUE	TRUE	TRUE	FALSE	3	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_19991127_148/1083/R3	obj1	3	6	alcohol_gebruik/noun	effect->[mod:#T,mod:van->obj1:CW]	R3	TRUE	7	R	3	1086	alcoholgebruik	heilzaam/adj/nrc_handelsblad_19991127_148/1083	heilzaam	3	heilzaam/adj/nrc_handelsblad_19991127_148/1083/R2	TRUE	TRUE	TRUE	FALSE	3	alcohol_gebruik	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_19991127_148/1083/R6	obj1	6	8	bloedvat/noun	effect->[mod:#T,mod:van->obj1:alcohol_gebruik->mod:op->obj1:CW]	R6	TRUE	10	R	5	1089	bloedvaten	heilzaam/adj/nrc_handelsblad_19991127_148/1083	heilzaam	6	heilzaam/adj/nrc_handelsblad_19991127_148/1083/R5	TRUE	TRUE	TRUE	FALSE	3	bloedvat	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_19991127_148/1083/R9	cnj	9	11	bloeddruk/noun	en->cnj:effect->[mod:#T,cnj:CW]	R9	TRUE	13	R	3	1092	bloeddruk	heilzaam/adj/nrc_handelsblad_19991127_148/1083	heilzaam	9	heilzaam/adj/nrc_handelsblad_19991127_148/1083/R8	TRUE	TRUE	TRUE	FALSE	3	bloeddruk	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
