token_id	lemma	confidence	original_sense	agree_fct	NOTA	majority
blik/noun/nrc_handelsblad_19990403_18/1656	blik	4	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_19990403_18/1656	blik	2	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_19990403_18/1656	blik	5	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_19990707_120/685	blik	4	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_19990707_120/685	blik	4	blik_1	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_19990707_120/685	blik	3	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_19991224_53/725	blik	4	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_19991224_53/725	blik	3	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_19991224_53/725	blik	3	blik_4	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20000323_59/155	blik	4	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20000323_59/155	blik	2	blik_1	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20000323_59/155	blik	4	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20000412_47/435	blik	4	blik_3	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20000412_47/435	blik	5	blik_2	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20000412_47/435	blik	5	blik_2	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20000805_25/143	blik	4	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20000805_25/143	blik	5	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20000805_25/143	blik	4	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20001027_140/871	blik	4	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20001027_140/871	blik	3	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20001027_140/871	blik	3	blik_1	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20001205_121/399	blik	3	blik_2	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20001205_121/399	blik	3	blik_1	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20001205_121/399	blik	3	blik_2	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010111_49/1047	blik	4	blik_2	none	Sense	Disagrees
blik/noun/nrc_handelsblad_20010111_49/1047	blik	3	blik_1	none	Sense	Disagrees
blik/noun/nrc_handelsblad_20010111_49/1047	blik	4	blik_3	none	Sense	Disagrees
blik/noun/nrc_handelsblad_20010118_106/365	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20010118_106/365	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010118_106/365	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010214_24/386	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010214_24/386	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010214_24/386	blik	3	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010226_54/568	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010226_54/568	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010226_54/568	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010313_55/809	blik	2	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010313_55/809	blik	5	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010313_55/809	blik	3	blik_1	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20010315_169/391	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20010315_169/391	blik	3	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010315_169/391	blik	5	blik_3	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010818_66/337	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010818_66/337	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010818_66/337	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20010829_54/65	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20010829_54/65	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010829_54/65	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010830_139/191	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20010830_139/191	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20010830_139/191	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20011107_106/219	blik	3	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20011107_106/219	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20011107_106/219	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20011208_27/1513	blik	4	blik_3	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20011208_27/1513	blik	3	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20011208_27/1513	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20020122_82/116	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020122_82/116	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020122_82/116	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020412_190/200	blik	4	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020412_190/200	blik	2	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020412_190/200	blik	3	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020424_99/174	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020424_99/174	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020424_99/174	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020426_21/33	blik	4	blik_4	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020426_21/33	blik	5	blik_4	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020426_21/33	blik	5	blik_4	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020515_42/332	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20020515_42/332	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20020515_42/332	blik	3	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20020604_38/588	blik	4	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020604_38/588	blik	4	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020604_38/588	blik	5	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20020629_119/1105	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20020629_119/1105	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20020629_119/1105	blik	3	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20030523_75/7	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20030523_75/7	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20030523_75/7	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20030523_90/291	blik	5	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20030523_90/291	blik	3	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20030523_90/291	blik	3	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20030714_78/115	blik	3	blik_4	none	Sense	Disagrees
blik/noun/nrc_handelsblad_20030714_78/115	blik	3	geen	none	None of the above	Disagrees
blik/noun/nrc_handelsblad_20030714_78/115	blik	3	blik_5	none	Sense	Disagrees
blik/noun/nrc_handelsblad_20030906_205/261	blik	1	blik_5	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20030906_205/261	blik	4	blik_4	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20030906_205/261	blik	1	blik_4	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20031007_73/38	blik	5	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031007_73/38	blik	3	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031007_73/38	blik	5	blik_3	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031112_100/362	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031112_100/362	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031112_100/362	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031205f_120/45	blik	5	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031205f_120/45	blik	5	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20031205f_120/45	blik	5	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040309_79/160	blik	4	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040309_79/160	blik	4	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040309_79/160	blik	2	blik_5	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040318_152/235	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20040318_152/235	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20040318_152/235	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20040320_177/103	blik	4	blik_4	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040320_177/103	blik	4	blik_4	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040320_177/103	blik	5	blik_4	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040408_82/229	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/nrc_handelsblad_20040408_82/229	blik	5	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20040408_82/229	blik	4	blik_1	majority	Sense	Agrees
blik/noun/nrc_handelsblad_20040506_133/462	blik	4	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040506_133/462	blik	5	blik_1	full	Sense	Agrees
blik/noun/nrc_handelsblad_20040506_133/462	blik	5	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990601_75/229	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/volkskrant_19990601_75/229	blik	5	blik_1	majority	Sense	Agrees
blik/noun/volkskrant_19990601_75/229	blik	5	blik_1	majority	Sense	Agrees
blik/noun/volkskrant_20010120_6/982	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/volkskrant_20010120_6/982	blik	5	blik_1	majority	Sense	Agrees
blik/noun/volkskrant_20010120_6/982	blik	5	blik_1	majority	Sense	Agrees
blik/noun/volkskrant_19990203_93/14	blik	5	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990203_93/14	blik	5	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990203_93/14	blik	5	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990220_137/285	blik	4	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990220_137/285	blik	5	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990220_137/285	blik	5	blik_1	full	Sense	Agrees
blik/noun/volkskrant_19990225_43/751	blik	3	blik_3	full	Sense	Agrees
blik/noun/volkskrant_19990225_43/751	blik	3	blik_3	full	Sense	Agrees
blik/noun/volkskrant_19990225_43/751	blik	4	blik_3	full	Sense	Agrees
blik/noun/volkskrant_19990402_107/1319	blik	0	geen	none	None of the above	Disagrees
blik/noun/volkskrant_19990402_107/1319	blik	5	blik_1	none	Sense	Disagrees
blik/noun/volkskrant_19990402_107/1319	blik	4	blik_2	none	Sense	Disagrees
blik/noun/volkskrant_19990417_82/478	blik	1	blik_3	full	Sense	Agrees
blik/noun/volkskrant_19990417_82/478	blik	5	blik_3	full	Sense	Agrees
blik/noun/volkskrant_19990417_82/478	blik	4	blik_3	full	Sense	Agrees
blik/noun/volkskrant_19990716_43/424	blik	4	blik_2	minority	Sense	Disagrees
blik/noun/volkskrant_19990716_43/424	blik	5	blik_1	majority	Sense	Agrees
